Variable,Time,Shock,Median,Lower,Upper
log(PBol),21,IntRate,-0.0004684618176739,-0.2265988250530719,0.0706720105242826
log(PBol),21,OilPrice,-6.28121758403301e-05,-0.0134464114155439,0.0041599258746249
log(PBol),22,ForeignDemand,-0.0061435704656276,-0.2790185375102033,0.0296530501423292
log(PBol),22,GovSpending,0.0011671137633457,-0.0180769655210383,0.174484097309386
log(PBol),22,IntRate,-0.0002573783772724,-0.1586043941148227,0.0625506720135556
log(PBol),22,OilPrice,3.952671195895092e-06,-0.0084539795649273,0.0039688231546944
log(PBol),23,ForeignDemand,-0.0056053290169677,-0.291398396489399,0.0317067968976609
log(PBol),23,GovSpending,0.0009419291062322,-0.0164747011591478,0.1700600604760803
log(PBol),23,IntRate,-8.534174839229499e-05,-0.1516374431694995,0.0637017497898214
log(PBol),23,OilPrice,3.747446924858995e-06,-0.0058607079112328,0.0042517677935401
log(PBol),24,ForeignDemand,-0.0055806029139654,-0.2985172343881879,0.0333337681384638
log(PBol),24,GovSpending,0.000752086627558,-0.0148223146208978,0.1649273255936831
log(PBol),24,IntRate,-0.000112870460784,-0.1408628829643359,0.0917274694917436
log(PBol),24,OilPrice,1.980583660199886e-05,-0.0042179572070146,0.005700142794102
log(PEX),0,ForeignDemand,0.2876843540715687,0.2264413404114913,0.3497747642513505
log(PEX),0,IntRate,-0.3664582375182557,-0.9781577865487392,-0.1079850087970426
